#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21
,World,"174,423,014","+55,302","3,753,372","+1,498","157,974,282","12,695,360","86,375","22,377",481.5,,,,All,,,,,,,
,Asia,"52,635,715","+36,515","715,477",+719,"49,358,500","2,561,738","28,393",,,,,,Asia,,,,,,,
,Europe,"46,940,203","+14,138","1,080,413",+657,"44,125,996","1,733,794","11,995",,,,,,Europe,,,,,,,
,North America,"40,003,461","+1,432","903,164",+53,"32,999,855","6,100,442","12,775",,,,,,North America,,,,,,,
1,USA,"34,227,237",,"612,701",,"28,177,659","5,436,877","5,186","102,842","1,841","489,733,608","1,471,500","332,812,597",North America,,,,,,,
,South America,"29,796,980","+2,832","920,090",+58,"26,943,195","1,933,695","30,781",,,,,,South America,,,,,,,
2,India,"28,996,949",,"351,344",,"27,341,462","1,304,143","8,944","20,822",252,"368,207,596","264,395","1,392,642,289",Asia,,,,,,,
3,Brazil,"16,985,812",,"474,614",,"15,408,401","1,102,797","8,318","79,385","2,218","50,028,915","233,815","213,967,902",South America,,,,,,,
4,France,"5,713,917",,"110,062",,"5,425,197","178,658","2,472","87,358","1,683","87,363,010","1,335,656","65,408,321",Europe,,,,,,,
5,Turkey,"5,293,627",,"48,255",,"5,167,350","78,022","1,060","62,143",566,"55,673,616","653,568","85,184,183",Asia,,,,,,,
6,Russia,"5,145,843","+9,977","124,496",+379,"4,752,085","269,262","2,300","35,247",853,"140,800,000","964,431","145,992,893",Europe,,,,,,,
,Africa,"4,976,320",+276,"132,959",+11,"4,479,091","364,270","2,420",,,,,,Africa,,,,,,,
7,UK,"4,522,476",,"127,841",,"4,277,098","117,537",134,"66,294","1,874","189,171,158","2,773,015","68,218,595",Europe,,,,,,,
8,Italy,"4,233,698",,"126,588",,"3,918,657","188,453",759,"70,119","2,097","67,412,074","1,116,486","60,378,772",Europe,,,,,,,
9,Argentina,"3,977,634",,"81,946",,"3,560,148","335,540","7,827","87,263","1,798","14,639,773","321,173","45,582,153",South America,,,,,,,
10,Germany,"3,710,341",,"89,965",,"3,549,900","70,476","1,796","44,153","1,071","61,380,686","730,427","84,033,929",Europe,,,,,,,
11,Spain,"3,707,523",,"80,236",,"3,490,978","136,309","1,124","79,269","1,715","51,240,666","1,095,549","46,771,688",Europe,,,,,,,
12,Colombia,"3,593,016",,"92,496",,"3,340,543","159,977","6,582","69,919","1,800","17,625,675","342,992","51,387,949",South America,,,,,,,
13,Iran,"2,980,116","+8,846","81,362",+179,"2,578,263","320,491","3,620","35,063",957,"20,812,819","244,875","84,993,488",Asia,,,,,,,
